symbol,price,pe,pb,market_cap,dma50,dma200,close,roe,growth,alpha,weight
PNB,0,25,3,0,117.08239990234375,115.88909992218018,114.31999969482422,18,15,10.139999999999999,0.09999999999999999
EICHERMOT,0,25,3,0,7325.41,6805.41498046875,7168.5,18,15,10.139999999999999,0.09999999999999999
TITAN,0,25,3,0,4215.474018554687,3838.2645007324218,4490.0,18,15,10.139999999999999,0.09999999999999999
IFCI,0,25,3,0,57.102600021362306,55.778199939727784,62.45000076293945,18,15,10.139999999999999,0.09999999999999999
SBIN,0,25,3,0,1109.2069958496095,953.5169985961915,1107.3499755859375,18,15,10.139999999999999,0.09999999999999999
IDEA,0,25,3,0,10.055000019073486,9.245400023460387,9.59000015258789,18,15,10.139999999999999,0.09999999999999999
TATASTEEL,0,25,3,0,200.81599914550782,178.0399496459961,211.17999267578125,18,15,10.139999999999999,0.09999999999999999
ADANIPOWER,0,25,3,0,153.655,141.43775009155274,204.19000244140625,18,15,10.139999999999999,0.09999999999999999
AXISBANK,0,25,3,0,1305.4459985351561,1218.3891235351562,1369.0,18,15,10.139999999999999,0.09999999999999999
CANBK,0,25,3,0,142.34699844360352,132.91705005645753,142.77999877929688,18,15,10.139999999999999,0.09999999999999999
